Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,1,,Saquon Barkley,NYG,RB1,11,1,4,1.5,0.8,1,0
2,1,,Christian McCaffrey,CAR,RB2,7,1,6,2.3,0.8,2,0
3,1,,Alvin Kamara,NO,RB3,9,1,7,2.6,1,3,0
4,1,,David Johnson,ARI,RB4,12,2,44,6.8,3.7,6,2
5,1,,DeAndre Hopkins,HOU,WR1,10,4,17,6.8,2,5,0
6,1,,Ezekiel Elliott,DAL,RB5,8,1,82,7.8,8.5,4,-2
7,1,,Davante Adams,GB,WR2,11,4,17,8.2,2.7,7,0
8,2,,Julio Jones,ATL,WR3,9,6,19,10.5,2.7,10,2
9,2,,James Conner,PIT,RB6,7,2,55,10.8,5.3,9,0
10,2,,Nick Chubb,CLE,RB7,7,1,28,11.3,5.2,18,8
11,2,,Odell Beckham Jr.,CLE,WR4,7,5,21,12.4,3.7,12,1
12,2,,Michael Thomas,NO,WR5,9,5,25,13,3.5,11,-1
13,2,,Le'Veon Bell,NYJ,RB8,4,2,52,13,6.8,8,-5
14,2,,Travis Kelce,KC,TE1,12,6,22,14.1,2.7,14,0
15,2,,JuJu Smith-Schuster,PIT,WR6,7,3,32,14.1,4.2,15,0
16,2,,Dalvin Cook,MIN,RB9,12,4,44,15.8,5.6,19,3
17,2,,Tyreek Hill,KC,WR7,12,6,29,16.5,4.3,16,-1
18,2,,Joe Mixon,CIN,RB10,9,6,44,16.8,5.7,17,-1
19,3,,Todd Gurley,LAR,RB11,9,4,52,19.3,9.6,13,-6
20,3,,Mike Evans,TB,WR8,7,12,36,20.9,3.7,22,2
21,3,,George Kittle,SF,TE2,4,16,62,24.2,7.2,29,8
22,3,,Keenan Allen,LAC,WR9,12,16,36,25.1,3.2,24,2
23,3,,Antonio Brown,OAK,WR10,6,14,42,25.9,4.9,20,-3
24,3,,Zach Ertz,PHI,TE3,10,18,55,29.3,9.7,27,3
25,3,,Kerryon Johnson,DET,RB12,5,10,65,29.5,9.4,28,3
26,3,,Adam Thielen,MIN,WR11,12,21,58,29.6,4.2,23,-3
27,3,,Damien Williams,KC,RB13,12,9,78,30.8,13.4,25,-2
28,3,,Amari Cooper,DAL,WR12,8,22,52,30.8,5,33,5
29,3,,Stefon Diggs,MIN,WR13,12,21,46,31,4.3,34,5
30,3,,Aaron Jones,GB,RB14,11,6,81,31.7,11.5,31,1
31,3,,Leonard Fournette,JAC,RB15,10,17,89,33.2,9.3,26,-5
32,3,,Brandin Cooks,LAR,WR14,9,20,63,33.8,5,39,7
33,4,,Patrick Mahomes,KC,QB1,12,9,72,34.2,12.5,21,-12
34,4,,Devonta Freeman,ATL,RB16,9,7,59,34.9,10,30,-4
35,4,,Robert Woods,LAR,WR15,9,25,57,36.2,6,41,6
36,4,,Julian Edelman,NE,WR16,10,21,67,36.8,7.1,38,2
37,4,,Chris Godwin,TB,WR17,7,25,69,37.9,6.2,50,13
38,4,,Chris Carson,SEA,RB17,11,15,75,38.1,12.1,42,4
39,4,,Kenny Golladay,DET,WR18,5,30,92,41.9,8.2,43,4
40,4,,Tyler Lockett,SEA,WR19,11,29,86,43.4,10,48,8
41,4,,Josh Jacobs,OAK,RB18,6,19,187,43.7,11.2,32,-9
42,4,,Derrick Henry,TEN,RB19,11,13,92,44.3,11.3,37,-5
43,4,,Cooper Kupp,LAR,WR20,9,28,85,46.7,9.1,49,6
44,4,,Sony Michel,NE,RB20,10,23,74,48.7,11.1,47,3
45,4,,Melvin Gordon,LAC,RB21,12,5,141,48.7,24.4,36,-9
46,4,,Tyler Boyd,CIN,WR21,9,30,128,49.6,10.1,54,8
47,4,,David Montgomery,CHI,RB22,6,9,257,50,16.5,45,-2
48,4,,Marlon Mack,IND,RB23,6,36,85,50.1,12.3,40,-8
49,4,,Mark Ingram,BAL,RB24,8,19,86,51.9,12.2,46,-3
50,4,,Deshaun Watson,HOU,QB2,10,20,84,52,11,44,-6
51,5,,Calvin Ridley,ATL,WR22,9,31,98,53.9,9.3,55,4
52,5,,T.Y. Hilton,IND,WR23,6,46,67,54.3,6.1,35,-17
53,5,,Alshon Jeffery,PHI,WR24,10,34,79,54.7,9.7,62,9
